Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,1312
design__instance__area,29354.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,11
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.00643925229087472
power__switching__total,0.003872874192893505
power__leakage__total,1.3180427060888178E-7
power__total,0.010312259197235107
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.293566484986065
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.293566484986065
timing__hold__ws__corner:nom_tt_025C_3v30,0.738153115080504
timing__setup__ws__corner:nom_tt_025C_3v30,9.139494753030325
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.738153
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,9.139495
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,3
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,11
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3316686741349891
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3316686741349891
timing__hold__ws__corner:nom_ss_125C_3v00,1.7580164488427534
timing__setup__ws__corner:nom_ss_125C_3v00,-1.6463364471019237
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-5.10703138678295
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-1.6463364471019237
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.758016
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,5
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-1.646336
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,5
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,11
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.27645672644736724
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27645672644736724
timing__hold__ws__corner:nom_ff_n40C_3v60,0.30917602686473344
timing__setup__ws__corner:nom_ff_n40C_3v60,11.11551948613548
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.309176
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.687664
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,3
design__max_fanout_violation__count,11
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2734855475048347
clock__skew__worst_setup,0.2734855475048347
timing__hold__ws,0.30702519173829734
timing__setup__ws,-2.0759821116420323
timing__hold__tns,0.0
timing__setup__tns,-7.028109848577787
timing__hold__wns,0
timing__setup__wns,-2.0759821116420323
timing__hold_vio__count,0
timing__hold_r2r__ws,0.307025
timing__hold_r2r_vio__count,0
timing__setup_vio__count,15
timing__setup_r2r__ws,-2.075982
timing__setup_r2r_vio__count,15
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1312
design__instance__area__stdcell,29354.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.564863
design__instance__utilization__stdcell,0.564863
design__instance__count__class:tie_cell,13
design__instance__count__class:buffer,10
design__instance__count__class:inverter,63
design__instance__count__class:sequential_cell,167
design__instance__count__class:multi_input_combinational_cell,530
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,78
design__instance__count__class:tap_cell,348
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29678.1
design__violations,0
design__instance__count__class:timing_repair_buffer,72
design__instance__count__class:clock_buffer,22
design__instance__count__class:clock_inverter,9
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,891
route__net__special,2
route__drc_errors__iter:1,153
route__wirelength__iter:1,33678
route__drc_errors__iter:2,29
route__wirelength__iter:2,33281
route__drc_errors__iter:3,18
route__wirelength__iter:3,33298
route__drc_errors__iter:4,0
route__wirelength__iter:4,33231
route__drc_errors,0
route__wirelength,33231
route__vias,5886
route__vias__singlecut,5886
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,600.16
design__instance__count__class:fill_cell,1252
timing__unannotated_net__count__corner:nom_tt_025C_3v30,19
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,19
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,19
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,11
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.28865907703382593
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.28865907703382593
timing__hold__ws__corner:min_tt_025C_3v30,0.7351748307104129
timing__setup__ws__corner:min_tt_025C_3v30,9.323689639809224
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
