Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4328
design__instance__area,88266.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,10
design__max_cap_violation__count__corner:nom_tt_025C_3v30,7
power__internal__total,0.003593933302909136
power__switching__total,0.002361522288993001
power__leakage__total,4.332764547143597E-7
power__total,0.005955888889729977
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3221058788642285
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3235531656400619
timing__hold__ws__corner:nom_tt_025C_3v30,1.0339021043056782
timing__setup__ws__corner:nom_tt_025C_3v30,73.14680979070187
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.033902
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,117.133575
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,8
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,10
design__max_cap_violation__count__corner:nom_ss_125C_3v00,7
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3855691153265294
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.38876145070182194
timing__hold__ws__corner:nom_ss_125C_3v00,2.3380444908567024
timing__setup__ws__corner:nom_ss_125C_3v00,71.7032995496158
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.338044
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,108.882828
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,10
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,9
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2940966164953167
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2950151040295657
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4777858244277716
timing__setup__ws__corner:nom_ff_n40C_3v60,73.77583908160572
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.477786
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,120.561882
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,13
design__max_fanout_violation__count,10
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.2904926104108502
clock__skew__worst_setup,0.2911752865679997
timing__hold__ws,0.47330352088368427
timing__setup__ws,71.62168660867823
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.473304
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,108.469841
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,4328
design__instance__area__stdcell,88266.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.3946
design__instance__utilization__stdcell,0.3946
design__instance__count__class:tie_cell,6
design__instance__count__class:buffer,8
design__instance__count__class:inverter,124
design__instance__count__class:sequential_cell,543
design__instance__count__class:multi_input_combinational_cell,1657
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,162
design__instance__count__class:tap_cell,1454
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,95177.9
design__violations,0
design__instance__count__class:timing_repair_buffer,198
design__instance__count__class:clock_buffer,119
design__instance__count__class:clock_inverter,57
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2650
route__net__special,2
route__drc_errors__iter:1,549
route__wirelength__iter:1,109556
route__drc_errors__iter:2,149
route__wirelength__iter:2,108749
route__drc_errors__iter:3,121
route__wirelength__iter:3,108372
route__drc_errors__iter:4,12
route__wirelength__iter:4,108190
route__drc_errors__iter:5,0
route__wirelength__iter:5,108170
route__drc_errors,0
route__wirelength,108170
route__vias,16542
route__vias__singlecut,16542
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,924.86
design__instance__count__class:fill_cell,4721
timing__unannotated_net__count__corner:nom_tt_025C_3v30,87
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,87
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,87
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,10
design__max_cap_violation__count__corner:min_tt_025C_3v30,6
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.3161851703287559
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.3172681929199077
timing__hold__ws__corner:min_tt_025C_3v30,1.0263530316139347
timing__setup__ws__corner:min_tt_025C_3v30,73.18347379690401
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
